ASX Code,Company Name,Status,NCA Intangibles(ExGW)
CDX,Cardiex Limited,Trading,"56,192.00"
CDY,Cellmid Limited,Trading,"1,757,002.00"
CE1,Calima Energy Limited,Trading,0
CEL,Challenger Exploration Limited,Trading,0
CEN,Contact Energy Limited,Trading,"212,090,068.00"
CER,Centro Retail Group,Suspended,--
CETF,Vaneck Vectors FTSE China A50 ETF,Trading,--
CFO,CFOAM Limited,Trading,"3,642,721.00"
CG1,Carbonxt Group Limited,Trading,"3,594,149.00"
CGA,Contango Asset Management Limited,Trading,--
CGB,Cann Global Limited,Trading,"179,144.00"
CGC,Costa Group Holdings Limited,Trading,"12,278,000.00"
CGF,Challenger Limited,Trading,"18,100,000.00"
CGL,The Citadel Group Limited,Trading,"98,695,000.00"
CGM,Cougar Metals NL,Suspended,0
CGN,Crater Gold Mining Limited,Trading,0
CGO,CPT Global Limited,Trading,0
CGR,CML Group Limited,Trading,"2,146,000.00"
CGS,Cogstate Limited,Trading,"10,120,359.00"
CHC,Charter Hall Group,Trading,--
CHK,Cohiba Minerals Limited,Trading,0
CHN,Chalice Gold Mines Limited,Trading,0
CHZ,Chesser Resources Limited,Trading,0
CI1,Credit Intelligence Ltd,Trading,0
CIA,Champion Iron Limited,Trading,0
CIE,Contango Income Generator Limited,Trading,--
CII,CI Resources Limited,Trading,0
CIM,CIMIC Group Limited,Trading,"125,200,000.00"
CIN,Carlton Investments Limited,Trading,--
CIO,Connected IO Limited,Trading,"138,197.00"
CIP,Centuria Industrial REIT,Trading,--
CIW,Clime Investment Management Ltd,Trading,--
CKA,Cokal Limited,Trading,0
CKF,Collins Foods Limited,Trading,"26,228,000.00"
CL1,Class Limited,Trading,"18,613,000.00"
CL8,Collaborate Corporation Limited,Trading,"13,136.00"
CLA,Celsius Resources Limited,Trading,0
CLB,Candy Club Holdings Limited,Trading,"79,799.00"
CLE,Cyclone Metals Limited,Suspended,0
CLF,Concentrated Leaders Fund Limited,Trading,--
CLH,Collection House Limited,Suspended,"33,011,000.00"
CLI,Croplogic Limited,Suspended,"997,906.00"
CLQ,Clean TeQ Holdings Limited,Trading,"3,535,000.00"
CLT,Cellnet Group Limited,Trading,"3,958,000.00"
CLV,Clover Corporation Limited,Trading,0
CLW,Charter Hall Long Wale REIT,Trading,--
CLX,CTI Logistics Limited,Trading,"6,336,383.00"
CLZ,Classic Minerals Limited,Trading,0
CM8,Crowd Media Holdings Limited,Trading,"507,944.00"
CMC,China Magnesium Corporation Limited,Suspended,0
CMD,Cassius Mining Limited,Trading,0
CML,Chase Mining Corporation Limited,Trading,0
CMM,Capricorn Metals Ltd,Trading,0
CMP,Compumedics Limited,Trading,"2,777,000.00"
CMW,Cromwell Property Group,Trading,--
CNB,Carnaby Resources Limited,Trading,0
CNEW,VanEck Vectors China New Economy ETF,Trading,--
CNI,Centuria Capital Limited,Trading,--
CNI,Centuria Capital Limited,Trading,"112,182,000.00"
CNJ,Conico Ltd,Trading,0
CNL,Celamin Holdings Limited,Trading,0
CNU,Chorus Limited,Trading,"148,556,479.00"
CNW,Cirrus Networks Holdings Limited,Trading,"985,726.00"
COB,Cobalt Blue Holdings Limited,Trading,"105,000.00"
COD,Coda Minerals Ltd,Trading,0
COE,Cooper Energy Limited,Trading,"1,878,000.00"
COF,Centuria Office REIT,Trading,--
COG,Consolidated Operations Group Limited,Trading,--
COH,Cochlear Limited,Trading,"139,400,000.00"
COI,Comet Ridge Limited,Trading,0
COL,Coles Group Limited,Trading,"444,000,000.00"
COO,Corum Group Limited,Trading,"4,674,000.00"
CORE,ETFS Global Core Infrastructure ETF,Trading,--
COS,COSOL Limited,Trading,0
COY,Coppermoly Limited,Trading,0
CP1,CannPal Animal Therapeutics Limited,Trading,--
CPH,Creso Pharma Limited,Trading,"4,477,755.00"
CPT,Cipherpoint Limited,Trading,0
CPU,Computershare Limited,Trading,"1,742,239,545.00"
CPV,ClearVue Technologies Limited,Trading,"2,456,581.00"
CQE,Charter Hall Social Infrastructure REIT,Trading,--
CQR,Charter Hall Retail REIT,Trading,--
CR1,Constellation Resources Limited,Trading,0
CRB,Carbine Resources Limited,Suspended,0
CRED,BetaShares Australian Investment Grade Corporate Bond ETF,Trading,--
CRL,Comet Resources Limited,Trading,0
CRM,Carbon Minerals Limited,Trading,0
CRN,Coronado Global Resources Inc,Trading,"7,249,500.00"
CRO,Cirralto Limited,Trading,"1,107,697.00"
CRS,Caprice Resources Limited,Trading,0
CSD,Consolidated Tin Mines Limited,Suspended,0
CSE,Copper Strike Ltd,Trading,0
CSL,CSL Limited,Trading,"1,436,689,494.00"
CSR,CSR Limited,Trading,"15,800,000.00"
CSS,Clean Seas Seafood Limited,Trading,"2,957,000.00"
CST,Castile Resources Ltd,Trading,0
CSX,CleanSpace Holdings Limited,Trading,0
CT1,Constellation Technologies Limited,Trading,0
CTD,Corporate Travel Management Limited,Trading,"46,247,000.00"
CTE,Cryosite Limited,Trading,"20,217.00"
CTM,Centaurus Metals Limited,Trading,0
CTO,Citigold Corporation Limited,Trading,0
CTP,Central Petroleum Limited,Trading,"312,000.00"
CUE,Cue Energy Resources Limited,Trading,0
CUL,Cullen Resources Limited,Trading,"4,747,995.00"
CUP,Countplus Limited,Trading,"8,304,000.00"
CURE,ETFS S&P Biotech ETF,Trading,--
CUV,Clinuvel Pharmaceuticals Limited,Trading,0
CV1,CV Check Ltd,Trading,"1,513,577.00"
CVC,CVC Limited,Trading,0
CVF,Contrarian Value Fund Limited,Trading,--
CVL,Civmec Limited,Trading,0
CVN,Carnarvon Petroleum Limited,Trading,0
CVS,Cervantes Corporation Limited,Suspended,0
CVV,Caravel Minerals Limited,Trading,0
CVW,Clearview Wealth Limited,Trading,--
CWL,Consolidated Financial Holdings Limited,Suspended,"10,784.00"
CWN,Crown Resorts Limited,Trading,"1,159,700,000.00"
CWP,Cedar Woods Properties Limited,Trading,--
CWX,Carawine Resources Limited,Trading,0
CWY,Cleanaway Waste Management Limited,Trading,"478,600,000.00"
CWZ,Cashwerkz Limited,Trading,--
CXL,Calix Limited,Trading,"5,196,148.00"
CXM,Centrex Metals Limited,Trading,0
CXO,Core Lithium Ltd,Trading,0
CXU,Cauldron Energy Limited,Suspended,0
CXX,Cradle Resources Limited,Trading,0
CXZ,Connexion Telematics Ltd,Trading,0
CY5,Cygnus Gold Limited,Trading,0
CYC,Cyclopharm Limited,Trading,"4,280,076.00"
CYG,Coventry Group Limited,Trading,"21,507,000.00"
CYL,Catalyst Metals Limited,Trading,0
CYM,Cyprium Metals Limited,Trading,0
CYP,Cynata Therapeutics Limited,Trading,"2,972,495.00"
CYQ,Cycliq Group Ltd,Trading,"246,969.00"
CZL,Consolidated Zinc Limited,Trading,0
CZN,Corazon Mining Limited,Trading,0
CZR,CZR Resources Ltd,Trading,0
